City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Kirakira,SB,78.03,scattered clouds,-10.4544,161.9205,SanBiz Lodge
131,Romilly-Sur-Seine,FR,65.52,clear sky,48.5108,3.7263,Nicey hotel spa restaurant
133,Bako,ET,66.24,overcast clouds,5.7833,36.5667,Goh Hotel
134,Kokopo,PG,76.73,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
135,Bredasdorp,ZA,56.52,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
137,Tsiroanomandidy,MG,71.56,broken clouds,-18.7667,46.0333,Hotel du Bongolave
138,Takoradi,GH,77.43,light rain,4.8845,-1.7554,Raybow International Hotel
141,Abbeville,FR,62.56,scattered clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
142,Itoman,JP,78.82,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
144,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
147,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
149,Port Lincoln,AU,52.95,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
152,Maragogi,BR,78.89,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
153,Aquiraz,BR,87.22,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
157,Myanaung,MM,75.18,overcast clouds,18.2833,95.3167,Taung Hlay Khar
158,Donghai,CN,78.08,light rain,22.9459,115.642,Huacheng Restaurant
161,Mumford,GH,77.76,light rain,5.2618,-0.759,Spanish Villa
162,Lebu,CL,58.96,clear sky,-37.6167,-73.65,Hostal Las Lilas
166,Hami,CN,62.17,overcast clouds,42.8,93.45,Laoyutang Resort
167,Iralaya,HN,85.53,scattered clouds,15.0,-83.2333,Iglesia morava renovada
168,Port Alfred,ZA,60.69,broken clouds,-33.5906,26.891,The Halyards Hotel
169,Karratha,AU,72.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
170,Merrill,US,73.67,scattered clouds,45.1805,-89.6835,Prairie Motel
172,Kaitangata,NZ,50.81,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
174,Dingle,PH,76.33,light rain,10.9995,122.6711,SEGAYA PROPERTY
175,Noumea,NC,58.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
176,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Mar Del Plata,AR,62.01,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
179,Tura,IN,75.27,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
181,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
182,Minbu,MM,77.41,moderate rain,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
183,Kathu,TH,78.62,light rain,7.9178,98.3332,Novotel Phuket Resort
184,Magadi,IN,75.36,overcast clouds,12.9667,77.2333,SVB Caters
185,Asau,RO,51.76,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
187,Valparaiso,CL,56.84,mist,-33.0393,-71.6273,Hotel Ultramar
188,Eureka,US,82.2,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
189,Nkhata Bay,MW,72.64,clear sky,-11.6066,34.2907,Mayoka Village
191,North Bend,US,81.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
