City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Clyde River,CA,70.4692,-68.5914,35.83,75,75,10.36,broken clouds
144,Georgetown,MY,5.4112,100.3354,81.9,87,20,1.01,few clouds
145,Batagay,RU,67.6333,134.6333,38.41,74,100,3.67,overcast clouds
146,Avera,US,33.194,-82.5271,77.92,35,0,5.17,clear sky
147,Conde,BR,-7.2597,-34.9075,81.86,69,75,14.97,broken clouds
148,Micheweni,TZ,-4.9667,39.8333,76.46,81,99,12.62,overcast clouds
149,Port Lincoln,AU,-34.7333,135.8667,52.95,67,100,9.55,overcast clouds
150,Lavara,GR,41.2667,26.3833,62.4,58,100,7.81,overcast clouds
151,Olafsvik,IS,64.8945,-23.7142,44.06,64,99,17.96,overcast clouds
152,Maragogi,BR,-9.0122,-35.2225,78.89,79,13,13.73,few clouds
153,Aquiraz,BR,-3.9014,-38.3911,87.22,60,96,14.32,overcast clouds
154,Ust-Ordynskiy,RU,52.805,104.7508,42.64,87,100,5.73,light rain
155,Poya,NC,-21.35,165.15,65.37,74,98,4.99,overcast clouds
156,Aksarka,RU,66.5606,67.7975,35.2,81,18,2.91,few clouds
157,Myanaung,MM,18.2833,95.3167,75.18,96,100,5.06,overcast clouds
158,Donghai,CN,22.9459,115.642,78.08,86,3,6.64,light rain
159,Pittsburg,US,38.028,-121.8847,92.1,36,13,1.99,few clouds
160,Yaya,RU,56.206,86.44,36.09,97,100,12.24,light rain
161,Mumford,GH,5.2618,-0.759,77.76,88,39,11.18,light rain
162,Lebu,CL,-37.6167,-73.65,58.96,74,6,10.0,clear sky
163,Vostok,RU,46.4856,135.8833,40.71,81,99,3.04,overcast clouds
164,Hovd,MN,48.0056,91.6419,39.94,45,100,7.47,overcast clouds
165,Camopi,GF,3.1655,-52.3158,92.43,42,69,2.19,broken clouds
166,Hami,CN,42.8,93.45,62.17,35,100,21.99,overcast clouds
167,Iralaya,HN,15.0,-83.2333,85.53,64,25,7.49,scattered clouds
168,Port Alfred,ZA,-33.5906,26.891,60.69,82,68,4.14,broken clouds
169,Karratha,AU,-20.7377,116.8463,72.3,48,6,9.1,clear sky
170,Merrill,US,45.1805,-89.6835,73.67,49,40,4.61,scattered clouds
171,Russas,BR,-4.9403,-37.9758,95.88,30,31,14.63,scattered clouds
172,Kaitangata,NZ,-46.2817,169.8464,50.81,68,10,13.24,clear sky
173,Leningradskiy,RU,69.3833,178.4167,23.85,88,100,10.92,overcast clouds
174,Dingle,PH,10.9995,122.6711,76.33,91,4,6.04,light rain
175,Noumea,NC,-22.2763,166.4572,58.98,73,100,4.85,overcast clouds
176,Bengkulu,ID,-3.8004,102.2655,75.4,92,100,6.49,overcast clouds
177,Mar Del Plata,AR,-38.0023,-57.5575,62.01,55,40,15.01,scattered clouds
178,Luderitz,NA,-26.6481,15.1594,60.42,72,11,16.08,few clouds
179,Tura,IN,25.5198,90.2201,75.27,90,11,3.27,few clouds
180,Beringovskiy,RU,63.05,179.3167,31.66,93,100,25.55,light snow
181,Talcahuano,CL,-36.7167,-73.1167,60.48,77,0,9.22,clear sky
182,Minbu,MM,20.1833,94.8833,77.41,91,100,3.2,moderate rain
183,Kathu,TH,7.9178,98.3332,78.62,81,85,9.89,light rain
184,Magadi,IN,12.9667,77.2333,75.36,74,100,3.56,overcast clouds
185,Asau,RO,46.4333,26.4,51.76,84,99,6.33,overcast clouds
186,Ukiah,US,39.1502,-123.2078,95.13,19,5,3.76,clear sky
187,Valparaiso,CL,-33.0393,-71.6273,56.84,82,90,19.57,mist
188,Eureka,US,40.8021,-124.1637,82.2,70,22,4.0,few clouds
189,Nkhata Bay,MW,-11.6066,34.2907,72.64,74,7,3.2,clear sky
190,Parabel,RU,58.6978,81.4825,33.85,98,100,6.85,overcast clouds
191,North Bend,US,43.4065,-124.2243,81.91,100,0,3.2,clear sky
192,Dali,CN,25.7,100.1833,59.49,91,0,2.57,clear sky
193,Tazovskiy,RU,67.4667,78.7,31.69,86,6,7.87,clear sky
194,Christchurch,NZ,-43.5333,172.6333,63.32,45,0,1.99,clear sky
195,Porbandar,IN,21.6422,69.6093,80.37,86,14,8.14,few clouds
196,Lichinga,MZ,-13.3128,35.2406,66.29,68,20,4.61,few clouds
197,Millinocket,US,45.6573,-68.7098,74.55,80,100,13.06,overcast clouds
198,Mount Gambier,AU,-37.8333,140.7667,40.91,93,100,5.75,overcast clouds
199,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,5.75,scattered clouds
200,Stokmarknes,NO,68.5646,14.9108,48.49,81,100,4.27,overcast clouds
201,Lasa,IT,46.6166,10.7002,56.03,66,0,1.45,clear sky
202,Huittinen,FI,61.1833,22.7,46.42,95,100,6.22,moderate rain
203,San Ramon,US,37.7799,-121.978,90.45,38,10,1.01,clear sky
204,Ormara,PK,25.2088,64.6357,82.6,76,98,10.58,overcast clouds
205,Leshukonskoye,RU,64.8989,45.7622,46.31,89,100,9.46,overcast clouds
206,Sandanski,BG,41.5667,23.2833,61.86,31,31,2.91,scattered clouds
207,Margate,GB,51.3813,1.3862,68.7,85,1,11.77,clear sky
208,Zhangye,CN,38.9342,100.4517,66.76,40,4,4.12,clear sky
209,Qaanaaq,GL,77.484,-69.3632,16.5,70,15,6.71,few clouds
210,Dikson,RU,73.5069,80.5464,35.74,83,84,15.59,broken clouds
211,San Luis,AR,-33.295,-66.3356,78.37,19,0,11.3,clear sky
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,62,100,17.65,overcast clouds
213,Constitucion,CL,-35.3333,-72.4167,64.56,61,2,7.94,clear sky
214,Svetlaya,RU,46.5389,138.3297,49.59,69,97,4.97,overcast clouds
215,Ilulissat,GL,69.2167,-51.1,16.84,72,15,4.41,few clouds
216,Atar,MR,20.5169,-13.0499,99.3,14,20,12.12,few clouds
217,Melnik,CZ,50.3505,14.4741,63.95,72,100,4.97,overcast clouds
218,Tual,ID,-5.6667,132.75,79.84,82,95,15.05,overcast clouds
219,Mayo,US,38.8876,-76.5119,76.35,44,0,3.0,clear sky
220,Pacific Grove,US,36.6177,-121.9166,83.16,85,40,1.99,scattered clouds
221,Rajpipla,IN,21.8667,73.5,76.33,93,79,5.39,heavy intensity rain
222,Westerland,DE,54.9079,8.3033,60.82,94,90,19.57,overcast clouds
223,Princeton,US,25.5384,-80.4089,91.0,81,90,6.91,thunderstorm
224,Suez,EG,29.9737,32.5263,72.14,58,0,9.73,clear sky
225,Tutoia,BR,-2.7619,-42.2744,87.78,71,35,12.46,scattered clouds
226,Richards Bay,ZA,-28.783,32.0377,66.52,88,100,4.45,overcast clouds
227,Alice Springs,AU,-23.7,133.8833,49.55,34,66,0.0,broken clouds
