City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Ozark,US,2021-09-21 00:36:09,37.0209,-93.206,88.05,68,30,7.65
133,Klaksvik,FO,2021-09-21 00:40:41,62.2266,-6.589,52.72,79,100,34.99
134,Torbay,CA,2021-09-21 00:40:41,47.6666,-52.7314,45.37,70,75,12.66
135,Saint-Pierre,RE,2021-09-21 00:40:42,-21.3393,55.4781,65.88,72,75,8.05
136,Lata,PT,2021-09-21 00:40:42,40.1629,-8.3327,60.1,58,0,10.56
137,Cardston,CA,2021-09-21 00:40:42,49.2,-113.3019,60.66,41,15,11.5
138,Lahaina,US,2021-09-21 00:40:42,20.8783,-156.6825,87.8,68,100,13.69
139,Ponta Do Sol,PT,2021-09-21 00:40:43,32.6667,-17.1,72.23,82,32,6.62
140,Komsomolskiy,UZ,2021-09-21 00:40:43,40.4272,71.7189,59.72,47,0,6.91
141,Yerbogachen,RU,2021-09-21 00:40:43,61.2767,108.0108,48.87,85,100,10.36
142,Sorong,ID,2021-09-21 00:40:43,-0.8833,131.25,81.91,73,68,2.06
143,Hithadhoo,MV,2021-09-21 00:40:44,-0.6,73.0833,83.39,73,100,11.7
144,Naryan-Mar,RU,2021-09-21 00:40:44,67.6713,53.087,39.99,84,100,13.02
145,Axim,GH,2021-09-21 00:40:44,4.8699,-2.2405,75.78,93,60,7.56
146,Iquique,CL,2021-09-21 00:37:27,-20.2208,-70.1431,59.04,79,100,3.49
147,Narsaq,GL,2021-09-21 00:40:45,60.9167,-46.05,37.62,58,0,4.92
148,Sept-Iles,CA,2021-09-21 00:39:53,50.2001,-66.3821,50.52,93,75,3.44
149,Raja Sansi,IN,2021-09-21 00:40:45,31.7192,74.7978,84.06,100,75,2.3
150,Caravelas,BR,2021-09-21 00:40:45,-17.7125,-39.2481,72.05,84,5,4.41
151,Millinocket,US,2021-09-21 00:36:27,45.6573,-68.7098,60.82,88,1,0.0
152,Kiunga,PG,2021-09-21 00:40:46,-6.1219,141.2906,75.92,95,100,1.79
153,Boqueirao,BR,2021-09-21 00:40:46,-7.5,-36.1333,69.19,82,15,10.58
154,Senneterre,CA,2021-09-21 00:40:46,48.3835,-77.2328,66.42,54,100,10.78
155,Ilulissat,GL,2021-09-21 00:40:46,69.2167,-51.1,28.42,74,75,21.85
156,Gornopravdinsk,RU,2021-09-21 00:40:47,60.05,69.9,34.88,94,100,8.21
157,Taltal,CL,2021-09-21 00:40:47,-25.4,-70.4833,58.91,79,77,3.15
158,Huarmey,PE,2021-09-21 00:40:47,-10.0681,-78.1522,62.28,84,22,10.22
159,Bonavista,CA,2021-09-21 00:40:48,48.6499,-53.1147,35.6,66,5,19.17
160,Beringovskiy,RU,2021-09-21 00:40:48,63.05,179.3167,42.67,93,100,7.34
161,Novonukutskiy,RU,2021-09-21 00:40:48,53.7002,102.7117,41.97,78,93,9.33
162,Cleja,RO,2021-09-21 00:40:48,46.4167,26.9,47.43,87,90,8.05
163,Gondanglegi,ID,2021-09-21 00:40:49,-7.7479,112.0132,81.84,65,100,8.28
164,San Cristobal,VE,2021-09-21 00:40:05,7.7669,-72.225,73.58,96,100,2.35
165,Khatanga,RU,2021-09-21 00:40:49,71.9667,102.5,32.4,97,100,2.26
166,Geraldton,AU,2021-09-21 00:40:49,-28.7667,114.6,68.41,34,0,17.27
167,Kaduy,RU,2021-09-21 00:40:50,59.2,37.15,36.34,80,100,9.24
168,Saurimo,AO,2021-09-21 00:40:50,-9.6608,20.3916,66.38,47,9,1.25
169,Vestmannaeyjar,IS,2021-09-21 00:40:50,63.4427,-20.2734,48.94,72,100,9.66
170,Atuona,PF,2021-09-21 00:40:50,-9.8,-139.0333,77.88,71,0,19.91
171,Dubbo,AU,2021-09-21 00:40:51,-32.25,148.6167,44.73,65,90,16.11
172,Chebarkul,RU,2021-09-21 00:40:51,54.9749,60.3633,30.22,88,8,3.0
173,Port Hedland,AU,2021-09-21 00:40:51,-20.3167,118.5667,84.25,18,36,23.02
174,Hobart,AU,2021-09-21 00:39:22,-42.8794,147.3294,49.86,50,40,13.8
175,Beaverlodge,CA,2021-09-21 00:40:51,55.2166,-119.4361,56.55,48,100,9.57
176,Lodwar,KE,2021-09-21 00:40:52,3.1191,35.5973,82.27,45,22,15.37
177,Bredasdorp,ZA,2021-09-21 00:40:52,-34.5322,20.0403,47.52,81,16,2.3
178,Colac,AU,2021-09-21 00:40:52,-38.3333,143.5833,52.38,50,44,12.33
179,Shitanjing,CN,2021-09-21 00:40:53,39.2342,106.3439,68.4,25,0,6.78
180,Hilo,US,2021-09-21 00:40:53,19.7297,-155.09,80.33,65,90,9.22
181,Solnechnyy,RU,2021-09-21 00:40:53,50.7214,136.6319,58.71,52,78,4.03
182,Lamar,US,2021-09-21 00:40:53,33.6668,-95.5836,91.31,49,1,8.05
183,Nikolskoye,RU,2021-09-21 00:40:54,59.7035,30.7861,42.69,81,98,6.76
184,Ornskoldsvik,SE,2021-09-21 00:40:54,63.2909,18.7153,40.82,93,90,2.3
185,Kamsack,CA,2021-09-21 00:40:54,51.5667,-101.9009,59.45,50,7,12.21
186,Bungoma,KE,2021-09-21 00:40:55,0.5635,34.5606,60.26,87,0,4.54
187,Fairbanks,US,2021-09-21 00:40:55,64.8378,-147.7164,39.16,54,90,5.75
188,Inhambane,MZ,2021-09-21 00:40:55,-23.865,35.3833,67.06,80,6,10.22
189,Pontianak,ID,2021-09-21 00:39:52,-0.0333,109.3333,78.78,89,20,4.61
190,Lagoa,PT,2021-09-21 00:40:56,39.05,-27.9833,69.4,71,0,9.06
191,Butaritari,KI,2021-09-21 00:40:56,3.0707,172.7902,83.16,70,43,13.56
192,Dingle,PH,2021-09-21 00:40:56,10.9995,122.6711,80.4,84,100,2.86
193,Karlstad,SE,2021-09-21 00:40:56,59.3793,13.5036,45.16,87,90,4.61
194,Mazagao,BR,2021-09-21 00:40:57,-0.115,-51.2894,86.05,86,100,5.95
195,Presidencia Roque Saenz Pena,AR,2021-09-21 00:40:57,-26.7852,-60.4388,71.17,69,100,14.18
196,Ponta Delgada,PT,2021-09-21 00:40:57,37.7333,-25.6667,70.52,68,20,5.75
197,Zermatt,CH,2021-09-21 00:40:57,46.0213,7.7491,40.5,93,0,8.05
198,East London,ZA,2021-09-21 00:40:58,-33.0153,27.9116,57.63,55,9,25.72
199,Port Lincoln,AU,2021-09-21 00:40:58,-34.7333,135.8667,54.37,60,100,12.71
200,Galesong,ID,2021-09-21 00:40:58,-5.3166,119.3661,78.82,72,100,4.83
201,Tuni,IN,2021-09-21 00:40:59,17.35,82.55,78.17,88,100,7.16
202,Brae,GB,2021-09-21 00:40:59,60.3964,-1.353,53.51,79,100,23.09
203,Artyom,AZ,2021-09-21 00:40:59,40.4723,50.333,69.94,78,0,13.33
204,Hailar,CN,2021-09-21 00:41:00,49.2,119.7,53.64,64,100,10.42
205,Pedernales,DO,2021-09-21 00:41:00,18.0384,-71.744,81.61,74,0,2.82
206,Clyde River,CA,2021-09-21 00:41:00,70.4692,-68.5914,29.44,71,92,6.93
207,Dauphin,CA,2021-09-21 00:41:00,51.1494,-100.0502,60.94,44,1,10.36
208,Chase,CA,2021-09-21 00:41:01,50.8165,-119.6857,67.75,54,81,3.76
209,Goundam,ML,2021-09-21 00:41:01,16.4145,-3.6708,93.42,27,5,8.86
210,Luan,CH,2021-09-21 00:41:01,46.3592,6.9759,45.23,94,34,2.62
211,Alibag,IN,2021-09-21 00:41:01,18.6411,72.8792,82.47,89,100,3.49
212,Lagunas,PE,2021-09-21 00:41:02,-5.2269,-75.6753,77.85,74,79,2.13
213,Xinqing,CN,2021-09-21 00:41:03,48.2333,129.5,51.03,88,100,4.81
214,Loandjili,CG,2021-09-21 00:41:04,-4.7561,11.8578,77.11,83,90,5.75
215,Constitucion,CL,2021-09-21 00:41:04,-35.3333,-72.4167,51.42,78,0,8.14
216,Santa Isabel Do Rio Negro,BR,2021-09-21 00:41:04,-0.4139,-65.0192,77.2,79,75,2.64
217,Rudnya,RU,2021-09-21 00:41:04,54.947,31.0934,41.27,96,100,11.05
218,Victor Harbor,AU,2021-09-21 00:41:05,-35.5667,138.6167,55.49,60,99,13.15
219,Sao Jose Da Coroa Grande,BR,2021-09-21 00:41:05,-8.8978,-35.1478,74.23,75,12,6.64
220,Lavrentiya,RU,2021-09-21 00:41:05,65.5833,-171.0,36.7,58,45,5.28
221,Namatanai,PG,2021-09-21 00:41:06,-3.6667,152.4333,84.58,67,100,4.29
222,San Patricio,US,2021-09-21 00:41:06,28.017,-97.5169,90.01,67,0,12.1
223,Florence,IT,2021-09-21 00:41:06,43.7667,11.25,63.64,100,75,2.3
224,Makakilo City,US,2021-09-21 00:41:06,21.3469,-158.0858,88.12,42,1,11.5
225,Arlit,NE,2021-09-21 00:41:07,18.7369,7.3853,90.45,10,0,12.48
226,Asau,RO,2021-09-21 00:41:07,46.4333,26.4,45.52,92,98,0.92
227,Yazman,PK,2021-09-21 00:41:07,29.1212,71.7446,90.09,54,3,9.37
